timestamp,cell,variable,source,value
2024-01-01,cell-04,precipitation,DWD,2.301763072072442
2024-01-01,cell-04,temperature,GeoSphere,8.671862099612373
2024-01-01,cell-04,precipitation,GeoSphere,2.755747201768022
2024-01-01,cell-05,temperature,ERA5,8.459434205150725
2024-01-01,cell-05,precipitation,ERA5,2.8075239246765076
2024-01-01,cell-05,temperature,IMGW,8.19907652170501
2024-01-01,cell-05,precipitation,IMGW,1.6418866390519986
2024-01-01,cell-05,temperature,DWD,8.779188003138085
2024-01-01,cell-05,precipitation,DWD,2.169184571223814
2024-01-01,cell-05,temperature,GeoSphere,9.092490530672618
2024-01-01,cell-05,precipitation,GeoSphere,2.258613967848136
2024-01-01,cell-06,temperature,ERA5,9.135907174377264
2024-01-01,cell-06,precipitation,ERA5,0.442669067751702
2024-01-01,cell-06,temperature,IMGW,8.65694009994892
2024-01-01,cell-06,precipitation,IMGW,0.9750880014549453
2024-01-01,cell-06,temperature,DWD,9.13426124596913
2024-01-01,cell-06,precipitation,DWD,1.6019996267911143
2024-01-01,cell-06,temperature,GeoSphere,9.322639420096065
2024-01-01,cell-06,precipitation,GeoSphere,1.278615382660834
2024-01-01,cell-07,temperature,ERA5,9.83861184262766
2024-01-01,cell-07,precipitation,ERA5,3.7438851570777247
2024-01-01,cell-07,temperature,IMGW,9.246486399589314
2024-01-01,cell-07,precipitation,IMGW,4.01966266233863
2024-01-01,cell-07,temperature,DWD,8.823164062259178
2024-01-01,cell-07,precipitation,DWD,4.523104744430501
2024-01-01,cell-07,temperature,GeoSphere,9.163335048938308
2024-01-01,cell-07,precipitation,GeoSphere,4.256115445776109
2024-01-02,cell-00,temperature,ERA5,8.4026272599409
2024-01-02,cell-00,precipitation,ERA5,3.37327757811808
2024-01-02,cell-00,temperature,IMGW,8.284755540509465
2024-01-02,cell-00,precipitation,IMGW,2.716212120280902
2024-01-02,cell-00,temperature,DWD,7.6601534595239436
2024-01-02,cell-00,precipitation,DWD,3.032896252780617
2024-01-02,cell-00,temperature,GeoSphere,7.887689030383463
2024-01-02,cell-00,precipitation,GeoSphere,3.8721286568540054
2024-01-02,cell-01,temperature,ERA5,8.137826100828903
2024-01-02,cell-01,precipitation,ERA5,2.4039768690352172
2024-01-02,cell-01,temperature,IMGW,7.845950610014879
2024-01-02,cell-01,precipitation,IMGW,1.5172222005876426
2024-01-02,cell-01,temperature,DWD,7.7368899628001255
2024-01-02,cell-01,precipitation,DWD,1.510696319464558
2024-01-02,cell-01,temperature,GeoSphere,8.48871477425264
2024-01-02,cell-01,precipitation,GeoSphere,0.7520062373548178
2024-01-02,cell-02,temperature,ERA5,7.877440616447517
2024-01-02,cell-02,precipitation,ERA5,3.207412990243874
2024-01-02,cell-02,temperature,IMGW,8.455581138174491
2024-01-02,cell-02,precipitation,IMGW,3.1604683495464787
2024-01-02,cell-02,temperature,DWD,8.525026472733217
2024-01-02,cell-02,precipitation,DWD,3.883385878961849
2024-01-02,cell-02,temperature,GeoSphere,8.526423083360264
2024-01-02,cell-02,precipitation,GeoSphere,2.520277737138022
2024-01-02,cell-03,temperature,ERA5,9.489170929926583
2024-01-02,cell-03,precipitation,ERA5,3.4150877199586667
2024-01-02,cell-03,temperature,IMGW,9.38166977656993
2024-01-02,cell-03,precipitation,IMGW,2.3300840868465404
2024-01-02,cell-03,temperature,DWD,8.422435583619695
2024-01-02,cell-03,precipitation,DWD,2.570615796021346
2024-01-02,cell-03,temperature,GeoSphere,8.598220894882916
2024-01-02,cell-03,precipitation,GeoSphere,2.288026969994828
2024-01-02,cell-04,temperature,ERA5,8.557397279668821
2024-01-02,cell-04,precipitation,ERA5,2.324576488089048
2024-01-02,cell-04,temperature,IMGW,9.402774309611475
2024-01-02,cell-04,precipitation,IMGW,3.0306160158143554
2024-01-02,cell-04,temperature,DWD,9.937375545556288
2024-01-02,cell-04,precipitation,DWD,2.1896187420218705
2024-01-02,cell-04,temperature,GeoSphere,8.641499196841616
2024-01-02,cell-04,precipitation,GeoSphere,0.8437499594035915
2024-01-02,cell-05,temperature,ERA5,8.926172866170734
2024-01-02,cell-05,precipitation,ERA5,0.9378939451823771
2024-01-02,cell-05,temperature,IMGW,9.600427877874667
2024-01-02,cell-05,precipitation,IMGW,1.0409824550520634
2024-01-02,cell-05,temperature,DWD,8.96851359259607
2024-01-02,cell-05,precipitation,DWD,0.486778866544218
2024-01-02,cell-05,temperature,GeoSphere,8.487656266571955
2024-01-02,cell-05,precipitation,GeoSphere,0.7217256302389918
2024-01-02,cell-06,temperature,ERA5,10.078517665092166
2024-01-02,cell-06,precipitation,ERA5,9.135604804293564
2024-01-02,cell-06,temperature,IMGW,8.815759476360368
2024-01-02,cell-06,precipitation,IMGW,8.944156623750997
2024-01-02,cell-06,temperature,DWD,8.885907860339664
2024-01-02,cell-06,precipitation,DWD,10.589205709196383
2024-01-02,cell-06,temperature,GeoSphere,8.927610044821911
2024-01-02,cell-06,precipitation,GeoSphere,9.9309852289217
2024-01-02,cell-07,temperature,ERA5,9.348093423995678
2024-01-02,cell-07,precipitation,ERA5,5.44154909482062
2024-01-02,cell-07,temperature,IMGW,9.03799297930168
2024-01-02,cell-07,precipitation,IMGW,5.613575079157655
2024-01-02,cell-07,temperature,DWD,8.990663839354163
2024-01-02,cell-07,precipitation,DWD,4.805432486458886
2024-01-02,cell-07,temperature,GeoSphere,8.764291779231982
2024-01-02,cell-07,precipitation,GeoSphere,5.477981085558013
2024-01-03,cell-00,temperature,ERA5,8.992556523382959
2024-01-03,cell-00,precipitation,ERA5,4.108746140242442
2024-01-03,cell-00,temperature,IMGW,8.74452253318685
2024-01-03,cell-00,precipitation,IMGW,2.597334595747744
2024-01-03,cell-00,temperature,DWD,8.893970581162266
2024-01-03,cell-00,precipitation,DWD,3.087722791937106
2024-01-03,cell-00,temperature,GeoSphere,9.190356809599784
2024-01-03,cell-00,precipitation,GeoSphere,2.9386264800616906
2024-01-03,cell-01,temperature,ERA5,9.546440193524262
2024-01-03,cell-01,precipitation,ERA5,0.3456603305501056
2024-01-03,cell-01,temperature,IMGW,8.122782546560723
2024-01-03,cell-01,precipitation,IMGW,1.2010219832376574
2024-01-03,cell-01,temperature,DWD,7.738591486299898
2024-01-03,cell-01,precipitation,DWD,0.0
2024-01-03,cell-01,temperature,GeoSphere,8.470521656996956
2024-01-03,cell-01,precipitation,GeoSphere,0.21203295861745963
2024-01-03,cell-02,temperature,ERA5,9.76479011786912
2024-01-03,cell-02,precipitation,ERA5,2.2467329117660433
2024-01-03,cell-02,temperature,IMGW,8.957502425325947
2024-01-03,cell-02,precipitation,IMGW,0.9276118399874098
2024-01-03,cell-02,temperature,DWD,8.532875467339663
2024-01-03,cell-02,precipitation,DWD,1.6835913604080366
2024-01-03,cell-02,temperature,GeoSphere,8.186777945054226
2024-01-03,cell-02,precipitation,GeoSphere,1.6185672647515217
2024-01-03,cell-03,temperature,ERA5,8.984037063405427
2024-01-03,cell-03,precipitation,ERA5,4.979754427808782
2024-01-03,cell-03,temperature,IMGW,8.683057355474272
2024-01-03,cell-03,precipitation,IMGW,5.857023721726534
2024-01-03,cell-03,temperature,DWD,8.85246699617043
2024-01-03,cell-03,precipitation,DWD,6.024205971530374
2024-01-03,cell-03,temperature,GeoSphere,8.705414435104094
2024-01-03,cell-03,precipitation,GeoSphere,4.963616759740237
2024-01-03,cell-04,temperature,ERA5,8.461327271031433
2024-01-03,cell-04,precipitation,ERA5,3.2370679997804626
2024-01-03,cell-04,temperature,IMGW,9.107470850038682
2024-01-03,cell-04,precipitation,IMGW,4.430237916959032
2024-01-03,cell-04,temperature,DWD,9.523075131931705
2024-01-03,cell-04,precipitation,DWD,2.6690055210359658
2024-01-03,cell-04,temperature,GeoSphere,8.856973840594435
2024-01-03,cell-04,precipitation,GeoSphere,2.3046373553601343
2024-01-03,cell-05,temperature,ERA5,8.798905384033178
2024-01-03,cell-05,precipitation,ERA5,2.773256934288073
2024-01-03,cell-05,temperature,IMGW,8.26389426667106
2024-01-03,cell-05,precipitation,IMGW,3.162522474049391
2024-01-03,cell-05,temperature,DWD,8.600964834415675
2024-01-03,cell-05,precipitation,DWD,3.0372690166660528
2024-01-03,cell-05,temperature,GeoSphere,8.73960278286284
2024-01-03,cell-05,precipitation,GeoSphere,3.2229722021377603
2024-01-03,cell-06,temperature,ERA5,8.382580925259772
2024-01-03,cell-06,precipitation,ERA5,0.0
2024-01-03,cell-06,temperature,IMGW,9.804171014416418
2024-01-03,cell-06,precipitation,IMGW,1.9258704421846833
2024-01-03,cell-06,temperature,DWD,8.509357282999023
2024-01-03,cell-06,precipitation,DWD,0.19395902070844426
2024-01-03,cell-06,temperature,GeoSphere,9.149196712445287
2024-01-03,cell-06,precipitation,GeoSphere,1.2470062741933674
2024-01-03,cell-07,temperature,ERA5,9.836177814076873
2024-01-03,cell-07,precipitation,ERA5,1.65705907595353
2024-01-03,cell-07,temperature,IMGW,9.350050679867154
2024-01-03,cell-07,precipitation,IMGW,1.129406845457129
2024-01-03,cell-07,temperature,DWD,9.170219055282438
2024-01-03,cell-07,precipitation,DWD,1.8024057950561416
2024-01-03,cell-07,temperature,GeoSphere,9.441804423731549
2024-01-03,cell-07,precipitation,GeoSphere,1.616829386274731
2024-01-04,cell-00,temperature,ERA5,8.934287040531286
2024-01-04,cell-00,precipitation,ERA5,5.858763471371268
2024-01-04,cell-00,temperature,IMGW,8.555679132308368
2024-01-04,cell-00,precipitation,IMGW,5.304066740102622
2024-01-04,cell-00,temperature,DWD,8.51641836665746
2024-01-04,cell-00,precipitation,DWD,5.702280359344442
2024-01-04,cell-00,temperature,GeoSphere,9.30104933246543
2024-01-04,cell-00,precipitation,GeoSphere,6.539068207838314
2024-01-04,cell-01,temperature,ERA5,9.038259497064377
2024-01-04,cell-01,precipitation,ERA5,0.12932515490431173
2024-01-04,cell-01,temperature,IMGW,9.19496416230962
2024-01-04,cell-01,precipitation,IMGW,1.1650075535203142
2024-01-04,cell-01,temperature,DWD,8.736557172261138
2024-01-04,cell-01,precipitation,DWD,0.19820248620229164
2024-01-04,cell-01,temperature,GeoSphere,9.020933604066185
2024-01-04,cell-01,precipitation,GeoSphere,1.2767940555608566
2024-01-04,cell-02,temperature,ERA5,8.783354952611438
2024-01-04,cell-02,precipitation,ERA5,1.312115562912877
2024-01-04,cell-02,temperature,IMGW,8.557856226453495
2024-01-04,cell-02,precipitation,IMGW,1.3264820721222894
2024-01-04,cell-02,temperature,DWD,8.502648412915743
2024-01-04,cell-02,precipitation,DWD,2.250815616632655
2024-01-04,cell-02,temperature,GeoSphere,7.573921326125988
2024-01-04,cell-02,precipitation,GeoSphere,1.3619074925910406
2024-01-04,cell-03,temperature,ERA5,8.044770996226184
2024-01-04,cell-03,precipitation,ERA5,3.600950685916691
2024-01-04,cell-03,temperature,IMGW,9.727580240502938
2024-01-04,cell-03,precipitation,IMGW,2.352130977870117
2024-01-04,cell-03,temperature,DWD,9.188979959631629
2024-01-04,cell-03,precipitation,DWD,3.0814921390125454
2024-01-04,cell-03,temperature,GeoSphere,8.963336903422302
2024-01-04,cell-03,precipitation,GeoSphere,2.6682475250079394
2024-01-04,cell-04,temperature,ERA5,10.390448979608065
2024-01-04,cell-04,precipitation,ERA5,8.158151897026208
2024-01-04,cell-04,temperature,IMGW,9.29008110766343
2024-01-04,cell-04,precipitation,IMGW,7.947645186338569
2024-01-04,cell-04,temperature,DWD,9.118094041650005
2024-01-04,cell-04,precipitation,DWD,7.452475285344812
2024-01-04,cell-04,temperature,GeoSphere,8.951749473748412
2024-01-04,cell-04,precipitation,GeoSphere,7.04308502119307
2024-01-04,cell-05,temperature,ERA5,9.8803806284742
2024-01-04,cell-05,precipitation,ERA5,5.543142676777416
2024-01-04,cell-05,temperature,IMGW,9.690351743289648
2024-01-04,cell-05,precipitation,IMGW,6.0177065723342515
2024-01-04,cell-05,temperature,DWD,9.7090790610791
2024-01-04,cell-05,precipitation,DWD,6.020115974101381
2024-01-04,cell-05,temperature,GeoSphere,8.57447760875449
2024-01-04,cell-05,precipitation,GeoSphere,5.589912978624995
2024-01-04,cell-06,temperature,ERA5,9.871333209127314
2024-01-04,cell-06,precipitation,ERA5,0.8676133047207264
2024-01-04,cell-06,temperature,IMGW,8.901449285467653
2024-01-04,cell-06,precipitation,IMGW,1.4046808415235414
2024-01-04,cell-06,temperature,DWD,8.731140179760416
2024-01-04,cell-06,precipitation,DWD,1.1010805517433075
2024-01-04,cell-06,temperature,GeoSphere,9.375499831233286
2024-01-04,cell-06,precipitation,GeoSphere,2.00741294921708
2024-01-04,cell-07,temperature,ERA5,10.03991178760884
2024-01-04,cell-07,precipitation,ERA5,0.4958650416794784
2024-01-04,cell-07,temperature,IMGW,10.489573837668146
2024-01-04,cell-07,precipitation,IMGW,0.0
2024-01-04,cell-07,temperature,DWD,9.486203766190776
2024-01-04,cell-07,precipitation,DWD,0.35881694624073196
2024-01-04,cell-07,temperature,GeoSphere,9.192084093215167
2024-01-04,cell-07,precipitation,GeoSphere,0.8008572898318793
2024-01-05,cell-00,temperature,ERA5,9.334234708634408
2024-01-05,cell-00,precipitation,ERA5,6.105476861278858
2024-01-05,cell-00,temperature,IMGW,8.748439518211239
2024-01-05,cell-00,precipitation,IMGW,5.162772951873006
2024-01-05,cell-00,temperature,DWD,8.599908443904974
2024-01-05,cell-00,precipitation,DWD,4.652179828519032
2024-01-05,cell-00,temperature,GeoSphere,8.549227411665038
2024-01-05,cell-00,precipitation,GeoSphere,4.974540744013497
2024-01-05,cell-01,temperature,ERA5,8.907039890779211
2024-01-05,cell-01,precipitation,ERA5,7.090489545137344
2024-01-05,cell-01,temperature,IMGW,8.54086046896191
2024-01-05,cell-01,precipitation,IMGW,5.194942042734591
2024-01-05,cell-01,temperature,DWD,8.759102927627854
2024-01-05,cell-01,precipitation,DWD,6.119372147486928
2024-01-05,cell-01,temperature,GeoSphere,8.792637661599988
2024-01-05,cell-01,precipitation,GeoSphere,6.358239059271503
2024-01-05,cell-02,temperature,ERA5,10.775950299354498
2024-01-05,cell-02,precipitation,ERA5,4.940883867211063
2024-01-05,cell-02,temperature,IMGW,8.311566867302936
2024-01-05,cell-02,precipitation,IMGW,5.89786928602493
2024-01-05,cell-02,temperature,DWD,8.802780983294653
2024-01-05,cell-02,precipitation,DWD,5.119469609362019
2024-01-05,cell-02,temperature,GeoSphere,9.560605044376544
2024-01-05,cell-02,precipitation,GeoSphere,4.202354425839862
2024-01-05,cell-03,temperature,ERA5,9.307051338706056
2024-01-05,cell-03,precipitation,ERA5,0.828533153125534
2024-01-05,cell-03,temperature,IMGW,8.98179721652643
2024-01-05,cell-03,precipitation,IMGW,0.0
2024-01-05,cell-03,temperature,DWD,7.912751341973584
2024-01-05,cell-03,precipitation,DWD,0.3239408872892312
2024-01-05,cell-03,temperature,GeoSphere,8.642012652012443
2024-01-05,cell-03,precipitation,GeoSphere,0.5056446958866782
2024-01-05,cell-04,temperature,ERA5,9.740995106035287
2024-01-05,cell-04,precipitation,ERA5,3.3536438190016726
2024-01-05,cell-04,temperature,IMGW,9.16013840771254
2024-01-05,cell-04,precipitation,IMGW,2.6677993063530505
2024-01-05,cell-04,temperature,DWD,9.360879346690428
2024-01-05,cell-04,precipitation,DWD,3.2268498216690618
2024-01-05,cell-04,temperature,GeoSphere,9.242386067415156
2024-01-05,cell-04,precipitation,GeoSphere,3.057592556941051
2024-01-05,cell-05,temperature,ERA5,8.282959988047962
2024-01-05,cell-05,precipitation,ERA5,1.0977535165769563
2024-01-05,cell-05,temperature,IMGW,8.835575070256034
2024-01-05,cell-05,precipitation,IMGW,0.8710897459276736
2024-01-05,cell-05,temperature,DWD,9.04105667517885
2024-01-05,cell-05,precipitation,DWD,2.5792955617081113
2024-01-05,cell-05,temperature,GeoSphere,9.270193284007785
2024-01-05,cell-05,precipitation,GeoSphere,2.2774294544540044
2024-01-05,cell-06,temperature,ERA5,9.529314628533767
2024-01-05,cell-06,precipitation,ERA5,8.449862801147349
2024-01-05,cell-06,temperature,IMGW,9.91631115033204
2024-01-05,cell-06,precipitation,IMGW,6.661066477429786
2024-01-05,cell-06,temperature,DWD,9.52142036368884
2024-01-05,cell-06,precipitation,DWD,6.431367244252382
2024-01-05,cell-06,temperature,GeoSphere,9.49196962253961
2024-01-05,cell-06,precipitation,GeoSphere,6.955466822736188
2024-01-05,cell-07,temperature,ERA5,10.407671845860907
2024-01-05,cell-07,precipitation,ERA5,8.37480912546453
2024-01-05,cell-07,temperature,IMGW,10.19221282687724
2024-01-05,cell-07,precipitation,IMGW,9.129201012828062
2024-01-05,cell-07,temperature,DWD,9.211516952445322
2024-01-05,cell-07,precipitation,DWD,9.715447166490552
2024-01-05,cell-07,temperature,GeoSphere,9.722433720624641
2024-01-05,cell-07,precipitation,GeoSphere,8.943670546752063
2024-01-06,cell-00,temperature,ERA5,8.514794287295524
2024-01-06,cell-00,precipitation,ERA5,1.5800230112312525
2024-01-06,cell-00,temperature,IMGW,8.632571850475726
2024-01-06,cell-00,precipitation,IMGW,1.9005911197175114
2024-01-06,cell-00,temperature,DWD,8.217827956101655
2024-01-06,cell-00,precipitation,DWD,0.48579830075415353
2024-01-06,cell-00,temperature,GeoSphere,8.843347627201544
2024-01-06,cell-00,precipitation,GeoSphere,1.021853359686447
2024-01-06,cell-01,temperature,ERA5,9.481376411207693
2024-01-06,cell-01,precipitation,ERA5,5.317260787761123
2024-01-06,cell-01,temperature,IMGW,9.935464291699102
2024-01-06,cell-01,precipitation,IMGW,3.4895091079704823
2024-01-06,cell-01,temperature,DWD,9.010738787738577
2024-01-06,cell-01,precipitation,DWD,4.0394695623806465
2024-01-06,cell-01,temperature,GeoSphere,8.733320887626009
2024-01-06,cell-01,precipitation,GeoSphere,3.644546077408947
2024-01-06,cell-02,temperature,ERA5,8.173362150920525
2024-01-06,cell-02,precipitation,ERA5,1.4914125141452328
2024-01-06,cell-02,temperature,IMGW,8.60962737637551
2024-01-06,cell-02,precipitation,IMGW,2.9948261998207624
2024-01-06,cell-02,temperature,DWD,8.803963966244288
2024-01-06,cell-02,precipitation,DWD,4.265713187752154
2024-01-06,cell-02,temperature,GeoSphere,9.426858502136128
2024-01-06,cell-02,precipitation,GeoSphere,2.766810226039749
2024-01-06,cell-03,temperature,ERA5,9.581756953772315
2024-01-06,cell-03,precipitation,ERA5,2.2450840150936417
2024-01-06,cell-03,temperature,IMGW,9.17559188809871
2024-01-06,cell-03,precipitation,IMGW,2.162948352819685
2024-01-06,cell-03,temperature,DWD,8.761616902502475
2024-01-06,cell-03,precipitation,DWD,1.630999540996922
2024-01-06,cell-03,temperature,GeoSphere,10.248411297758734
2024-01-06,cell-03,precipitation,GeoSphere,1.713831475980931
2024-01-06,cell-04,temperature,ERA5,9.821487416128113
2024-01-06,cell-04,precipitation,ERA5,2.603851050484111
2024-01-06,cell-04,temperature,IMGW,9.396603533793193
2024-01-06,cell-04,precipitation,IMGW,2.883883620958549
2024-01-06,cell-04,temperature,DWD,9.260358476268342
2024-01-06,cell-04,precipitation,DWD,3.0300104916886093
2024-01-06,cell-04,temperature,GeoSphere,10.070805554172807
2024-01-06,cell-04,precipitation,GeoSphere,2.8578142052952544
2024-01-06,cell-05,temperature,ERA5,10.302609476003335
2024-01-06,cell-05,precipitation,ERA5,2.1291459891575304
2024-01-06,cell-05,temperature,IMGW,9.41026089720353
2024-01-06,cell-05,precipitation,IMGW,2.5724648676329434
2024-01-06,cell-05,temperature,DWD,8.871232553871465
2024-01-06,cell-05,precipitation,DWD,4.3993425798580965
2024-01-06,cell-05,temperature,GeoSphere,9.83467413760023
2024-01-06,cell-05,precipitation,GeoSphere,3.313281743643051
2024-01-06,cell-06,temperature,ERA5,9.267530914021778
2024-01-06,cell-06,precipitation,ERA5,14.36242936588097
2024-01-06,cell-06,temperature,IMGW,8.856869558756168
2024-01-06,cell-06,precipitation,IMGW,13.670329327846996
2024-01-06,cell-06,temperature,DWD,9.366070015509454
2024-01-06,cell-06,precipitation,DWD,13.84080685142017
2024-01-06,cell-06,temperature,GeoSphere,9.731759226196177
2024-01-06,cell-06,precipitation,GeoSphere,14.033072694973443
2024-01-06,cell-07,temperature,ERA5,11.30422781073932
2024-01-06,cell-07,precipitation,ERA5,0.36140446403385473
2024-01-06,cell-07,temperature,IMGW,9.740340532497902
2024-01-06,cell-07,precipitation,IMGW,1.859220416696254
2024-01-06,cell-07,temperature,DWD,9.878448399440455
2024-01-06,cell-07,precipitation,DWD,1.8764497277534047
2024-01-06,cell-07,temperature,GeoSphere,9.877255224264697
2024-01-06,cell-07,precipitation,GeoSphere,1.901162731380896
2024-01-07,cell-00,temperature,ERA5,8.762858235154424
2024-01-07,cell-00,precipitation,ERA5,2.352271095019463
2024-01-07,cell-00,temperature,IMGW,8.668583362281792
2024-01-07,cell-00,precipitation,IMGW,3.338064654205652
2024-01-07,cell-00,temperature,DWD,8.149993370229954
2024-01-07,cell-00,precipitation,DWD,3.458016432677486
2024-01-07,cell-00,temperature,GeoSphere,8.593275944798393
2024-01-07,cell-00,precipitation,GeoSphere,3.7061435649333787
2024-01-07,cell-01,temperature,ERA5,8.135810668015381
2024-01-07,cell-01,precipitation,ERA5,1.321988672832011
2024-01-07,cell-01,temperature,IMGW,8.45116917097205
2024-01-07,cell-01,precipitation,IMGW,0.8497316989125538
2024-01-07,cell-01,temperature,DWD,8.317145116168929
2024-01-07,cell-01,precipitation,DWD,1.1407834821439338
2024-01-07,cell-01,temperature,GeoSphere,8.08961612521357
2024-01-07,cell-01,precipitation,GeoSphere,1.3766511751014685
2024-01-07,cell-02,temperature,ERA5,9.65691677673477
2024-01-07,cell-02,precipitation,ERA5,5.397899713413427
2024-01-07,cell-02,temperature,IMGW,9.279407407788137
2024-01-07,cell-02,precipitation,IMGW,3.287437970871449
2024-01-07,cell-02,temperature,DWD,8.900510423084057
2024-01-07,cell-02,precipitation,DWD,2.9902024056665475
2024-01-07,cell-02,temperature,GeoSphere,8.791345796920732
2024-01-07,cell-02,precipitation,GeoSphere,3.0141591380753887
2024-01-07,cell-03,temperature,ERA5,8.999977875472316
2024-01-07,cell-03,precipitation,ERA5,4.2263528666221
2024-01-07,cell-03,temperature,IMGW,9.643340874722007
2024-01-07,cell-03,precipitation,IMGW,3.2183801899220237
2024-01-07,cell-03,temperature,DWD,8.969055155168979
2024-01-07,cell-03,precipitation,DWD,3.6304007194190326
2024-01-07,cell-03,temperature,GeoSphere,9.36900576904635
2024-01-07,cell-03,precipitation,GeoSphere,2.5731605841083085
2024-01-07,cell-04,temperature,ERA5,9.801514036279503
2024-01-07,cell-04,precipitation,ERA5,1.900566216410836
2024-01-07,cell-04,temperature,IMGW,10.062590270940031
2024-01-07,cell-04,precipitation,IMGW,3.7862789449255336
2024-01-07,cell-04,temperature,DWD,9.289734763929125
2024-01-07,cell-04,precipitation,DWD,3.3316336220623826
2024-01-07,cell-04,temperature,GeoSphere,8.562345483931212
2024-01-07,cell-04,precipitation,GeoSphere,2.518605669804873
2024-01-07,cell-05,temperature,ERA5,11.111198843087815
2024-01-07,cell-05,precipitation,ERA5,0.0
2024-01-07,cell-05,temperature,IMGW,9.327970736467542
2024-01-07,cell-05,precipitation,IMGW,0.7856656826769831
2024-01-07,cell-05,temperature,DWD,10.076846750076486
2024-01-07,cell-05,precipitation,DWD,0.09498192383656989
2024-01-07,cell-05,temperature,GeoSphere,9.707589824578259
2024-01-07,cell-05,precipitation,GeoSphere,1.623244482529338
2024-01-07,cell-06,temperature,ERA5,9.382977584140175
2024-01-07,cell-06,precipitation,ERA5,1.3063832365771328
2024-01-07,cell-06,temperature,IMGW,9.668023940424526
2024-01-07,cell-06,precipitation,IMGW,0.0
2024-01-07,cell-06,temperature,DWD,9.601753693511474
2024-01-07,cell-06,precipitation,DWD,0.22627263392102753
2024-01-07,cell-06,temperature,GeoSphere,10.005649994933863
2024-01-07,cell-06,precipitation,GeoSphere,0.15869655865165455
2024-01-07,cell-07,temperature,ERA5,10.395653412070128
2024-01-07,cell-07,precipitation,ERA5,2.5392833329173454
2024-01-07,cell-07,temperature,IMGW,10.169602601482897
2024-01-07,cell-07,precipitation,IMGW,3.3774514901427533
2024-01-07,cell-07,temperature,DWD,9.886735464567488
2024-01-07,cell-07,precipitation,DWD,3.2844537008641423
2024-01-07,cell-07,temperature,GeoSphere,10.073991241577962
2024-01-07,cell-07,precipitation,GeoSphere,3.546889488323839
2024-01-08,cell-00,temperature,ERA5,8.435844463337983
2024-01-08,cell-00,precipitation,ERA5,5.955670265076322
2024-01-08,cell-00,temperature,IMGW,8.508668415615467
2024-01-08,cell-00,precipitation,IMGW,4.557268521641379
2024-01-08,cell-00,temperature,DWD,8.629049090930874
2024-01-08,cell-00,precipitation,DWD,4.279776333893057
2024-01-08,cell-00,temperature,GeoSphere,8.813961175735338
2024-01-08,cell-00,precipitation,GeoSphere,4.282214080431708
2024-01-08,cell-01,temperature,ERA5,7.620821434748059
2024-01-08,cell-01,precipitation,ERA5,8.852268462837744
2024-01-08,cell-01,temperature,IMGW,10.058859830895027
2024-01-08,cell-01,precipitation,IMGW,7.069527071329905
2024-01-08,cell-01,temperature,DWD,8.211235335635163
2024-01-08,cell-01,precipitation,DWD,7.187183179229066
2024-01-08,cell-01,temperature,GeoSphere,8.880363928912773
2024-01-08,cell-01,precipitation,GeoSphere,7.213664769995465
2024-01-08,cell-02,temperature,ERA5,8.257415053028549
2024-01-08,cell-02,precipitation,ERA5,4.8128900905360785
